Keypoint,Model,Good (%),Near Miss (%),Miss (%)
Nose,DLC - Buttom-up model,86.0,14.0,0.0
Nose,DLC - Top-down model,95.5,4.5,0.0
Nose,LP - Buttom-up model,93.0,7.0,0.0
Nose,LP - TCN model,68.6,24.7,6.7
Nose,SLEAP - Singe-instance,86.4,12.4,1.2
Nose,SLEAP - Top-down model,93.4,5.8,0.8
MthTop,DLC - Buttom-up model,87.2,11.9,0.8
MthTop,DLC - Top-down model,95.9,4.1,0.0
MthTop,LP - Buttom-up model,91.3,8.3,0.4
MthTop,LP - TCN model,71.1,22.6,6.3
MthTop,SLEAP - Singe-instance,86.0,12.8,1.2
MthTop,SLEAP - Top-down model,81.4,16.9,1.7
MthLCorn,DLC - Buttom-up model,83.7,16.3,0.0
MthLCorn,DLC - Top-down model,96.9,3.1,0.0
MthLCorn,LP - Buttom-up model,83.4,14.0,2.6
MthLCorn,LP - TCN model,69.5,26.5,4.0
MthLCorn,SLEAP - Singe-instance,77.4,20.4,2.2
MthLCorn,SLEAP - Top-down model,73.5,23.5,3.1
MthBott,DLC - Buttom-up model,81.4,18.2,0.4
MthBott,DLC - Top-down model,94.1,5.9,0.0
MthBott,LP - Buttom-up model,84.9,14.7,0.4
MthBott,LP - TCN model,72.2,22.2,5.6
MthBott,SLEAP - Singe-instance,82.2,15.7,2.1
MthBott,SLEAP - Top-down model,67.8,28.8,3.4
MthRCorn,DLC - Buttom-up model,75.6,21.1,3.3
MthRCorn,DLC - Top-down model,95.5,4.5,0.0
MthRCorn,LP - Buttom-up model,84.7,13.2,2.1
MthRCorn,LP - TCN model,64.1,30.8,5.1
MthRCorn,SLEAP - Singe-instance,82.2,15.8,2.1
MthRCorn,SLEAP - Top-down model,68.9,25.3,5.8
EyeL,DLC - Buttom-up model,86.2,12.4,1.4
EyeL,DLC - Top-down model,94.5,4.6,0.9
EyeL,LP - Buttom-up model,80.3,16.1,3.7
EyeL,LP - TCN model,70.8,21.5,7.8
EyeL,SLEAP - Singe-instance,82.0,15.7,2.3
EyeL,SLEAP - Top-down model,71.4,23.5,5.1
EyeR,DLC - Buttom-up model,84.1,13.7,2.1
EyeR,DLC - Top-down model,96.1,3.4,0.4
EyeR,LP - Buttom-up model,84.4,12.6,3.0
EyeR,LP - TCN model,74.2,20.5,5.2
EyeR,SLEAP - Singe-instance,87.9,10.3,1.7
EyeR,SLEAP - Top-down model,75.4,20.7,3.9
EarLTip,DLC - Buttom-up model,76.1,19.3,4.5
EarLTip,DLC - Top-down model,87.7,11.1,1.2
EarLTip,LP - Buttom-up model,80.3,15.1,4.6
